iter	Passed	Remaining
860	15357	3282
861	15375	3264
862	15392	3246
863	15410	3228
864	15427	3210
865	15445	3192
866	15462	3174
867	15481	3156
868	15499	3139
869	15518	3121
870	15535	3103
871	15553	3085
872	15571	3067
873	15590	3050
874	15609	3032
875	15627	3014
876	15645	2997
877	15663	2979
878	15681	2961
879	15698	2943
880	15718	2925
881	15735	2907
882	15753	2890
883	15771	2872
884	15789	2854
885	15805	2836
886	15823	2818
887	15838	2800
888	15855	2782
889	15872	2764
890	15890	2746
891	15908	2728
892	15926	2710
893	15944	2693
894	15961	2675
895	15980	2657
896	15998	2639
897	16015	2621
898	16033	2603
899	16051	2586
900	16068	2568
901	16085	2550
902	16102	2532
903	16121	2514
904	16139	2496
905	16157	2478
906	16174	2461
907	16193	2443
908	16211	2425
909	16230	2407
910	16247	2389
911	16265	2372
912	16283	2354
913	16301	2336
914	16318	2318
915	16336	2300
916	16354	2282
917	16371	2264
918	16389	2247
919	16407	2229
920	16424	2211
921	16439	2193
922	16456	2175
923	16475	2157
924	16493	2139
925	16512	2121
926	16527	2103
927	16545	2086
928	16564	2068
929	16582	2050
930	16600	2032
931	16619	2014
932	16637	1997
933	16656	1979
934	16675	1961
935	16693	1944
936	16713	1926
937	16731	1908
938	16750	1890
939	16764	1872
940	16780	1854
941	16797	1836
942	16814	1818
943	16831	1800
944	16849	1782
945	16866	1765
946	16884	1747
947	16903	1729
948	16920	1711
949	16938	1693
950	16953	1675
951	16972	1658
952	16990	1640
953	17005	1622
954	17021	1604
955	17036	1586
956	17051	1567
957	17067	1549
958	17081	1531
959	17098	1513
960	17114	1495
961	17129	1477
962	17146	1460
963	17163	1442
964	17178	1424
965	17196	1406
966	17214	1388
967	17231	1370
968	17249	1352
969	17265	1334
970	17284	1317
971	17301	1299
972	17316	1281
973	17331	1263
974	17345	1245
975	17362	1227
976	17379	1209
977	17396	1191
978	17414	1173
979	17432	1156
980	17448	1138
981	17468	1120
982	17486	1102
983	17503	1085
984	17522	1067
985	17540	1049
986	17556	1031
987	17573	1013
988	17587	995
989	17602	977
990	17621	960
991	17638	942
992	17656	924
993	17672	906
994	17690	888
995	17705	871
996	17723	853
997	17740	835
998	17758	817
999	17776	799
1000	17794	782
1001	17812	764
1002	17830	746
1003	17847	728
1004	17865	711
1005	17883	693
1006	17901	675
1007	17920	657
1008	17938	640
1009	17955	622
1010	17973	604
1011	17987	586
1012	18005	568
1013	18022	550
1014	18037	533
1015	18051	515
1016	18069	497
1017	18085	479
1018	18102	461
1019	18120	444
1020	18134	426
1021	18152	408
1022	18169	390
1023	18187	372
1024	18206	355
1025	18223	337
1026	18241	319
1027	18257	301
1028	18275	284
1029	18291	266
1030	18306	248
1031	18324	230
1032	18341	213
1033	18358	195
1034	18373	177
1035	18388	159
1036	18405	141
1037	18422	124
1038	18440	106
1039	18459	88
1040	18477	70
1041	18495	53
1042	18513	35
1043	18528	17
1044	18546	0
